Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,14,Sun,2018-12-09,18:00,M'Gladbach,1.2,3–0,0.9,Stuttgart,48590,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,,
Regular Season,15,Fri,2018-12-14,20:30,Nürnberg,0.8,0–2,0.8,Wolfsburg,29604,Max-Morlock-Stadion,Sven Jablonski,Match Report,
Regular Season,15,Sat,2018-12-15,15:30,Hoffenheim,2.8,0–0,0.5,M'Gladbach,30150,PreZero Arena,Benjamin Cortus,Match Report,
Regular Season,15,Sat,2018-12-15,15:30,Augsburg,1.9,1–1,0.6,Schalke 04,27233,WWK Arena,Manuel Gräfe,Match Report,
Regular Season,15,Sat,2018-12-15,15:30,Stuttgart,1.0,2–1,1.1,Hertha BSC,47680,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
Regular Season,15,Sat,2018-12-15,15:30,Hannover 96,0.1,0–4,3.4,Bayern Munich,49000,HDI-Arena,Sören Storks,Match Report,
Regular Season,15,Sat,2018-12-15,15:30,Düsseldorf,2.1,2–0,0.9,Freiburg,39301,Merkur Spielarena,Harm Osmers,Match Report,
Regular Season,15,Sat,2018-12-15,18:30,Dortmund,2.3,2–1,0.4,Werder Bremen,81365,Signal Iduna Park,Guido Winkmann,Match Report,
Regular Season,15,Sun,2018-12-16,15:30,RB Leipzig,3.2,4–1,1.0,Mainz 05,30136,Red Bull Arena,Martin Petersen,Match Report,
Regular Season,15,Sun,2018-12-16,18:00,Eint Frankfurt,3.5,2–1,1.1,Leverkusen,46500,Commerzbank-Arena,Felix Brych,Match Report,
,,,,,,,,,,,,,,
Regular Season,16,Tue,2018-12-18,18:30,M'Gladbach,2.7,2–0,0.9,Nürnberg,42323,Stadion im Borussia-Park,Robert Schröder,Match Report,
Regular Season,16,Tue,2018-12-18,20:30,Hertha BSC,2.0,2–2,0.6,Augsburg,27939,Olympiastadion Berlin,Frank Willenborg,Match Report,
Regular Season,16,Tue,2018-12-18,20:30,Düsseldorf,1.6,2–1,0.9,Dortmund,52000,Merkur Spielarena,Tobias Welz,Match Report,
Regular Season,16,Tue,2018-12-18,20:30,Wolfsburg,1.2,2–0,0.6,Stuttgart,21780,Volkswagen Arena,Robert Hartmann,Match Report,
Regular Season,16,Wed,2018-12-19,18:30,Schalke 04,1.8,1–2,0.5,Leverkusen,61548,Veltins-Arena,Deniz Aytekin,Match Report,
Regular Season,16,Wed,2018-12-19,20:30,Freiburg,1.9,1–1,1.7,Hannover 96,23500,Schwarzwald-Stadion,Christian Dingert,Match Report,
Regular Season,16,Wed,2018-12-19,20:30,Werder Bremen,2.5,1–1,1.5,Hoffenheim,40003,Weserstadion,Markus Schmidt,Match Report,
Regular Season,16,Wed,2018-12-19,20:30,Mainz 05,1.5,2–2,1.1,Eint Frankfurt,30805,Opel Arena,Daniel Siebert,Match Report,
Regular Season,16,Wed,2018-12-19,20:30,Bayern Munich,1.8,1–0,0.4,RB Leipzig,75000,Allianz Arena,Marco Fritz,Match Report,
,,,,,,,,,,,,,,
Regular Season,17,Fri,2018-12-21,20:30,Dortmund,1.7,2–1,0.6,M'Gladbach,81365,Signal Iduna Park,Felix Zwayer,Match Report,
Regular Season,17,Sat,2018-12-22,15:30,RB Leipzig,1.9,3–2,2.0,Werder Bremen,40455,Red Bull Arena,Bibiana Steinhaus,Match Report,
Regular Season,17,Sat,2018-12-22,15:30,Leverkusen,2.5,3–1,1.6,Hertha BSC,27647,BayArena,Tobias Stieler,Match Report,
Regular Season,17,Sat,2018-12-22,15:30,Nürnberg,0.7,0–1,0.4,Freiburg,36190,Max-Morlock-Stadion,Robert Kampka,Match Report,
Regular Season,17,Sat,2018-12-22,15:30,Stuttgart,1.6,1–3,2.2,Schalke 04,54022,Mercedes-Benz Arena,Felix Brych,Match Report,
Regular Season,17,Sat,2018-12-22,15:30,Hannover 96,0.5,0–1,0.9,Düsseldorf,34200,HDI-Arena,Bastian Dankert,Match Report,
