match_id,home,round,season,team,xg,xg_against,score,score_against
177,1,18,2017-18,Köln,0.9,2.0,2,1
177,0,18,2017-18,M'Gladbach,2.0,0.9,1,2
178,1,18,2017-18,Dortmund,2.4,1.4,0,0
178,0,18,2017-18,Wolfsburg,1.4,2.4,0,0
180,1,19,2017-18,Hertha BSC,0.6,1.2,1,1
180,0,19,2017-18,Dortmund,1.2,0.6,1,1
181,1,19,2017-18,Wolfsburg,1.4,1.7,1,3
181,0,19,2017-18,Eint Frankfurt,1.7,1.4,3,1
182,1,19,2017-18,Freiburg,0.5,1.0,2,1
182,0,19,2017-18,RB Leipzig,1.0,0.5,1,2
183,1,19,2017-18,Hoffenheim,0.7,2.6,1,4
183,0,19,2017-18,Leverkusen,2.6,0.7,4,1
184,1,19,2017-18,M'Gladbach,1.1,1.0,2,0
184,0,19,2017-18,Augsburg,1.0,1.1,0,2
185,1,19,2017-18,Mainz 05,2.6,1.0,3,2
185,0,19,2017-18,Stuttgart,1.0,2.6,2,3
186,1,19,2017-18,Hamburger SV,1.0,1.2,0,2
186,0,19,2017-18,Köln,1.2,1.0,2,0
187,1,19,2017-18,Bayern Munich,1.8,0.5,4,2
187,0,19,2017-18,Werder Bremen,0.5,1.8,2,4
188,1,19,2017-18,Schalke 04,0.5,0.9,1,1
188,0,19,2017-18,Hannover 96,0.9,0.5,1,1
190,1,20,2017-18,Eint Frankfurt,1.2,1.4,2,0
190,0,20,2017-18,M'Gladbach,1.4,1.2,0,2
191,1,20,2017-18,RB Leipzig,1.2,1.1,1,1
191,0,20,2017-18,Hamburger SV,1.1,1.2,1,1
192,1,20,2017-18,Stuttgart,0.6,2.7,0,2
192,0,20,2017-18,Schalke 04,2.7,0.6,2,0
193,1,20,2017-18,Köln,1.1,0.8,1,1
193,0,20,2017-18,Augsburg,0.8,1.1,1,1
194,1,20,2017-18,Bayern Munich,2.7,1.0,5,2
194,0,20,2017-18,Hoffenheim,1.0,2.7,2,5
195,1,20,2017-18,Dortmund,1.3,0.4,2,2
195,0,20,2017-18,Freiburg,0.4,1.3,2,2
196,1,20,2017-18,Werder Bremen,1.6,1.1,0,0
196,0,20,2017-18,Hertha BSC,1.1,1.6,0,0
197,1,20,2017-18,Leverkusen,1.8,0.1,2,0
197,0,20,2017-18,Mainz 05,0.1,1.8,0,2
198,1,20,2017-18,Hannover 96,1.0,0.4,0,1
198,0,20,2017-18,Wolfsburg,0.4,1.0,1,0
200,1,21,2017-18,Köln,2.4,1.8,2,3
200,0,21,2017-18,Dortmund,1.8,2.4,3,2
201,1,21,2017-18,Hertha BSC,1.0,1.9,1,1
201,0,21,2017-18,Hoffenheim,1.9,1.0,1,1
202,1,21,2017-18,Wolfsburg,1.0,1.5,1,1
202,0,21,2017-18,Stuttgart,1.5,1.0,1,1
203,1,21,2017-18,Mainz 05,1.6,1.8,0,2
203,0,21,2017-18,Bayern Munich,1.8,1.6,2,0
204,1,21,2017-18,Freiburg,1.0,0.7,0,0
204,0,21,2017-18,Leverkusen,0.7,1.0,0,0
205,1,21,2017-18,Schalke 04,1.1,2.0,1,2
205,0,21,2017-18,Werder Bremen,2.0,1.1,2,1
206,1,21,2017-18,M'Gladbach,1.0,1.1,0,1
206,0,21,2017-18,RB Leipzig,1.1,1.0,1,0
207,1,21,2017-18,Augsburg,2.4,0.6,3,0
207,0,21,2017-18,Eint Frankfurt,0.6,2.4,0,3
208,1,21,2017-18,Hamburger SV,1.5,1.4,1,1
208,0,21,2017-18,Hannover 96,1.4,1.5,1,1
210,1,22,2017-18,RB Leipzig,2.2,1.0,2,0
210,0,22,2017-18,Augsburg,1.0,2.2,0,2
211,1,22,2017-18,Hoffenheim,2.5,1.4,4,2
